region,x,y
Andhra Pradesh,-130.0,-200.0
Arunachal Pradesh,305.0,215.0
Assam,261.0,145.0
Bihar,71.0,126.0
Chhattisgarh,-39.0,3.0
Goa,-235.0,-182.0
Gujarat,-317.0,47.0
Haryana,-183.0,230.0
Himachal Pradesh,-170.0,318.0
Jharkhand,49.0,67.0
Karnataka,-215.0,-221.0
Kerala,-180.0,-318.0
Madhya Pradesh,-153.0,59.0
Maharashtra,-226.0,-80.0
Manipur,295.0,103.0
Meghalaya,206.0,120.0
Mizoram,277.0,60.0
Nagaland,320.0,146.0
Odisha,27.0,-29.0
Punjab,-211.0,274.0
Rajasthan,-275.0,155.0
Sikkim,146.0,180.0
Tamil Nadu,-136.0,-324.0
Telangana,-118.0,-109.0
Tripura,220.0,70.0
Uttar Pradesh,-63.0,157.0
Uttarakhand,-115.0,260.0
West Bengal,115.0,45.0
Andaman And Nicobar Islands,275.0,-244.0
Chandigarh,-174.0,285.0
Dadra And Nagar Haveli And Daman And Diu,-325.0,-36.0
Delhi,-155.0,210.0
Jammu And Kashmir,-231.0,375.0
Ladakh,-153.0,355.0
Lakshadweep,-303.0,-365.0
Puducherry,-72.0,-282.0